Tweet id (you need to refetch them using Twitter API),Hate targets extracted from the tweet text,Hate categories assigned by us
 474981469279244288 ,black people,race
 474986192065150976 ,sensitive people,behavior
 474988763169693696 ,sensitive people,behavior
 474989031617744896 ,rude people,behavior
 475006014333272064 ,ignorant people,behavior
 475008941983039488 ,black people,race
 475010309313138688 ,ignorant people,behavior
 475012469362937857 ,nasty people,behavior
 475012620366671872 ,ungrateful people,behavior
 475018110726983680 ,inconsiderate people,behavior
 475030584595869697 ,ignorant people,behavior
 475034669826981888 ,white people,race
 475041166820659200 ,rude people,behavior
 475043704361988096 ,rude people,behavior
 475050419459084288 ,white people,race
 475054022353629185 ,messy people,behavior
 475061358170349568 ,rich people,class
 475063790896431104 ,selfish people,behavior
 475063803462156288 ,pushy people,behavior
 475064008975081472 ,selfish people,behavior
 475069256040992769 ,white people,race
 475076071810146304 ,shady people,behavior
 475078198318092288 ,sneaky people,behavior
 475096619679903744 ,black people,race
 475097303376990208 ,needy people,behavior
 475101698994995200 ,fake people,behavior
 475107826881560576 ,fake people,behavior
 475109722715332608 ,friendly people,behavior
 475111983436414976 ,white people,race
 475112755205529600 ,messy people,behavior
 475113233356185600 ,fake people,behavior
 475124721533460480 ,drunk people,other
 475129297531715584 ,racist people,race
 475129729524064256 ,immature people,behavior
 475133206594076672 ,conceited people,behavior
 475133516984758272 ,bitchy people,behavior
 475133932212457473 ,white people,race
 475135400248627200 ,rude people,behavior
 475145735000715264 ,white people,race
 475146343178960896 ,immature people,behavior
 475157500028014592 ,sneaky people,behavior
 475174654710415360 ,ignorant people,behavior
 475179314590539776 ,stupid people,other
 475210054644162561 ,white people,race
 475213951144566784 ,drunk people,other
 475234452898316288 ,rich people,class
 475269940921245696 ,dumb people,other
 475287737361121280 ,indecisive people,other
 475292502077894656 ,sneaky people,behavior
 475295559725883393 ,nosey people,behavior
 475296025306226688 ,nosey people,behavior
 475311300969758721 ,new people,other
 475315646234771457 ,cocky people,behavior
 475328313032847360 ,fake people,behavior
 475331009970704384 ,black people,race
 475335233634848769 ,fake people,behavior
 475346247914508288 ,selfish people,behavior
 475356255507447808 ,ignorant people,behavior
 475357010494758913 ,dumb people,other
 475366867075211264 ,sneaky people,behavior
 475377541578907652 ,selfish people,behavior
 475386190258921472 ,rich people,class
 475395098940030976 ,drunk people,other
 475395937821806592 ,fake people,behavior
 475405756682887168 ,white people,race
 475408055145074688 ,drunk people,other
 475422823306248192 ,clingy people,behavior
 475423993504468992 ,cocky people,behavior
 475424282940416002 ,stupid people,other
 475428053586546689 ,attractive people,physical
 475429961994473473 ,black people,race
 475432709280370688 ,lazy people,behavior
 475439176880779264 ,white people,race
 475442221949673472 ,white people,race
 475450413416996866 ,cocky people,behavior
 475473268191678464 ,loud people,behavior
 475478011966271488 ,selfish people,behavior
 475486287307493376 ,black people,race
 475489051370614786 ,fat people,physical
 475492721361444865 ,fake people,behavior
 475496462693203968 ,bitchy people,behavior
 475499159618084864 ,old people,physical
 475507053335556096 ,famous people,other
 475510761087717376 ,ungrateful people,behavior
 475513638363869185 ,sneaky people,behavior
 475513785181274112 ,ignorant people,behavior
 475520609318076416 ,pretty people,physical
 475551647158919168 ,drunk people,other
 475556302836752384 ,rude people,behavior
 475576943023099904 ,sketchy people,behavior
 475639693996875777 ,sensitive people,behavior
 475646732010004482 ,loud people,behavior
 475649215071522816 ,stupid people,other
 475652578890752000 ,fake people,behavior
 475670815720349698 ,petty people,behavior
 475676519957016577 ,immature people,behavior
 475680529715429376 ,lazy people,behavior
 475681435693506561 ,stupid people,other
 475682891117375488 ,indian people,ethnicity
 475686942806671360 ,nosy people,behavior
 475695604048605184 ,temporary people,other
 475701203448258560 ,black people,race
 475701987783086082 ,black people,race
 475707960459796481 ,new people,other
 475713006215892992 ,straight people,sexual_orientation
 475713354351525888 ,lazy people,behavior
 475713639551631361 ,black people,race
 475719167669456896 ,corny people,behavior
 475721629725503488 ,gay people,sexual_orientation
 475726650278445056 ,ignorant people,behavior
 475732547507220481 ,mean people,behavior
 475732715250401280 ,black people,race
 475735198303535104 ,old people,physical
 475735298962628609 ,negative people,behavior
 475741141607145473 ,racist people,race
 475744354460368896 ,negative people,behavior
 475762931016019968 ,gay people,sexual_orientation
 475769671291904001 ,ignorant people,behavior
 475770627584819201 ,black people,race
 475771239941042176 ,fake people,behavior
 475772259173277697 ,sneaky people,behavior
 475784963686936576 ,stingy people,behavior
 475787878765965312 ,iffy people,behavior
 475791422944468992 ,racist people,race
 475792798663606272 ,immature people,behavior
 475795323638411265 ,stupid people,other
 475800528786837504 ,ugly people,physical
 475805389980569600 ,ungrateful people,behavior
 475808678314905600 ,ignorant people,behavior
 475818904019685376 ,negative people,behavior
 475823857505677312 ,loud people,behavior
 475834611675967488 ,black people,race
 475839489668300800 ,immature people,behavior
 475839804215541762 ,nosey people,behavior
 475840907342659584 ,sneaky people,behavior
 475841611956379648 ,sneaky people,behavior
 475843465876893696 ,selfish people,behavior
 475843566535589888 ,flaky people,behavior
 475843759473983488 ,fake people,behavior
 475847463048601600 ,stingy people,behavior
 475848914248425473 ,fake people,behavior
