Serial number,text,unix timestamp (milliseconds),whisper_assigned_categories,country,region,Hate targets extracted from the whisper text,Hate categories assigned by us
1,I am sick of whiny people just makes me want to snap their flipping necks. Ready to call it quits and just live the homeless life again,1402071505845,"Confessions,marriage,social institution,society",United States,Florida,whiny people,behavior
2,I hate black people,1402074524074,"Confessions,racism,society",,,black people,race
3,I hate nosey people ,1402078589528,"Confessions,home and garden",,,nosey people,behavior
4,"I hate gay people and people who use the term ""homophobic"". Gay sex transmits 63% of new AIDS cases, it's science ",1402081148984,"gay life,NSFW,society",,,gay people,sexual_orientation
5,I hate ignorant people. Can't people educate themselves before they speak? Why must we live in this world of idiots?,1402087643307,"art and entertainment,bollywood,Confessions,education,homeschooling,movies and tv,Q and A,religion and spirituality",United States,North Carolina,ignorant people,behavior
6,"i hate asian people, especially the filipinos and pakis. ",1402091070021,"Confessions,japan,tourist destinations,Travel",Canada,Manitoba,asian people,ethnicity
7,I FUCKING hate ignorant people,1402379361089,"art and entertainment,LGBTQ,movies,movies and tv,religion and spirituality",United States,California,ignorant people,behavior
8,I hate fake people on here..,1402380149607,"antivirus and malware,computer security,Confessions,technology and computing",,,fake people,behavior
9,I can't stand white people they make me furious.. And I'm white,1402409977473,"Confessions,racism,society",United States,California,white people,race
10,I hate clingy people...,1402412493259,"Confessions,Relationships,sex,society",,,clingy people,behavior
11,"Whenever my allergies are triggered and someone asks why, I answer as sincerely as possible that I'm allergic to stupid people. 

A few seem to have taken it seriously. ",1402413711349,"civl rights,Health and Wellness,law, govt and politics,legal issues,privacy",,,stupid people,other
12,"I'm black but i hate black people 
i love white people and only date whites",1402414047171,"NSFW,racism,society",United States,Colorado,black people,race
13,I hate indian people... They are Nice but They are everywhere,1402415402651,"Confessions,government,law, govt and politics",Norway,Vestfold Fylke,indian people,ethnicity
14,"I hate judgemental people. Just because it's not for you doesn't make it ""unhealthy"". Prick. ",1402415465325,"clothing,fast food,Food,food and drink,Health and Wellness,pants,society,style and fashion",Canada,Ontario,judgemental people,behavior
15,I honestly despise fat people and think they are lazy and useless. we should shoot them to space and create a second moon with them,1402417961944,Confessions,United States,Massachusetts,fat people,physical
16,I really hate white people USA sucks ,1402422380536,"Politics,racism,society",,,white people,race
17,i hate homophobic people,1402433630012,"gay life,LGBTQ,society",United Kingdom,England,homophobic people,sexual_orientation
18,"I hate fake people

just looking for friends to get things off my mind",1402440420691,"antivirus and malware,computer security,dating,Meet Up,society,technology and computing",,,fake people,behavior
19,I hate racist people they just make me prouder to be black,1402446687712,"Confessions,racism,society",,,racist people,race
20,"I hate judgmental people!!!!! 
Especially when they are judging someone you care so much about!!!!! 😡😡 like who cares if someone isn't as good looking as someone else!!!!!! People need to learn respect for others and soon cause I'm sick of this shit!!!!",1402448175348,,Canada,,judgmental people,behavior
21,Worst day I've had in a while. I can't stand dumb people.,1402452554935,"Confessions,fishing,Sports",United States,Colorado,dumb people,other
22,"I hate stereotypical people, it's like they can't stand you if you're not perfect   ",1402458126404,Confessions,,,stereotypical people,other
23,I hate judgemental people,1402489934040,"sex,society",,,judgemental people,behavior
24,"I hate fat people that cry about their lives and crave attention via Whisper. Seriously grow up and DO SOMETHING.
",1402495398166,Confessions,United States,Illinois,fat people,physical
25,I can't stand weak people or those who whine constantly! Just stop! Put your big pants on! FML,1402497708525,"canada,clothing,Confessions,hobbies and interests,pants,reading,style and fashion,tourist destinations,Travel",United States,Texas,weak people,physical
26,I fucking hate petty people. ,1402503181194,"art and entertainment,Confessions,crime,larceny,movies,movies and tv,property crime,society",Canada,Saskatchewan,petty people,behavior
27,I can't stand ignorant people. ,1402509322364,"Parenting,religion and spirituality",,,ignorant people,behavior
28,I hate fat people,1402512463298,"disorders,health and fitness,Health and Wellness",United Kingdom,England,fat people,physical
29,I hate jealous people. ,1402516771652,,,,jealous people,behavior
30,I hate serious people ,1402517740958,Confessions,,,serious people,behavior
31,I secretly hate Chinese people,1402519944954,"armed forces,army,Food,law, govt and politics",,,chinese people,ethnicity
